Date,Ticker,equity
2025-03-07,INTL,1.0
2025-03-10,INTL,1.0
2025-03-11,INTL,1.0
2025-03-12,INTL,1.0
2025-03-13,INTL,1.0
2025-03-14,INTL,1.0
2025-03-17,INTL,1.0
2025-03-18,INTL,1.0
2025-03-19,INTL,1.0
2025-03-20,INTL,1.0
2025-03-21,INTL,1.0
2025-03-24,INTL,1.0
2025-03-25,INTL,1.0
2025-03-26,INTL,1.0
2025-03-27,INTL,1.0
2025-03-28,INTL,1.0
2025-03-31,INTL,1.0
2025-04-01,INTL,1.0
2025-04-02,INTL,1.0
2025-04-03,INTL,1.0
2025-04-04,INTL,1.0
2025-04-07,INTL,1.0
2025-04-08,INTL,1.0
2025-04-09,INTL,1.0
2025-04-10,INTL,1.0
2025-04-11,INTL,1.0
2025-04-14,INTL,1.0
2025-04-15,INTL,1.0
2025-04-16,INTL,1.0
2025-04-17,INTL,1.0
2025-04-21,INTL,1.0
2025-04-22,INTL,1.0
2025-04-23,INTL,1.0
2025-04-24,INTL,1.0
2025-04-25,INTL,1.0
2025-04-28,INTL,1.0
2025-04-29,INTL,1.0
2025-04-30,INTL,1.0
2025-05-01,INTL,1.0
2025-05-02,INTL,1.0
2025-05-05,INTL,1.0
2025-05-06,INTL,1.0
2025-05-07,INTL,1.0
2025-05-08,INTL,1.0
2025-05-09,INTL,1.0
2025-05-12,INTL,1.0
2025-05-13,INTL,1.0
2025-05-14,INTL,1.0
2025-05-15,INTL,1.0
2025-05-16,INTL,1.0
2025-05-19,INTL,1.0
2025-05-20,INTL,1.0
2025-05-21,INTL,1.0
2025-05-22,INTL,1.0
2025-05-23,INTL,1.0
2025-05-27,INTL,1.0
2025-05-28,INTL,1.0
2025-05-29,INTL,1.0
2025-05-30,INTL,1.0
2025-06-02,INTL,1.0
2025-06-03,INTL,1.0
2025-06-04,INTL,1.0
2025-06-05,INTL,1.0
2025-06-06,INTL,1.0
2025-06-09,INTL,1.0
2025-06-10,INTL,1.0
2025-06-11,INTL,1.0
2025-06-12,INTL,1.0
2025-06-13,INTL,1.0
2025-06-16,INTL,1.0
2025-06-17,INTL,1.0
2025-06-18,INTL,1.0
2025-06-20,INTL,1.0
2025-06-23,INTL,1.0
2025-06-24,INTL,1.0
2025-06-25,INTL,1.0
2025-06-26,INTL,1.0
2025-06-27,INTL,1.0
2025-06-30,INTL,1.0
2025-07-01,INTL,1.0
2025-07-02,INTL,1.0
2025-07-03,INTL,1.0
2025-07-07,INTL,1.0
2025-07-08,INTL,1.0
2025-07-09,INTL,1.0
2025-07-10,INTL,1.0
2025-07-11,INTL,1.0
2025-07-14,INTL,1.0
2025-07-15,INTL,1.0
2025-07-16,INTL,1.0
2025-07-17,INTL,1.0
2025-07-18,INTL,1.0
2025-07-21,INTL,1.0
2025-07-22,INTL,1.0
2025-07-23,INTL,1.0
2025-07-24,INTL,1.0
2025-07-25,INTL,1.0
2025-07-28,INTL,1.0
2025-07-29,INTL,1.0
2025-07-30,INTL,1.0
2025-07-31,INTL,1.0
2025-08-01,INTL,1.0
2025-08-04,INTL,1.0
2025-08-05,INTL,1.0
2025-08-06,INTL,1.0
2025-08-07,INTL,1.0
2025-08-08,INTL,1.0
2025-08-11,INTL,1.0
2025-08-12,INTL,1.0
2025-08-13,INTL,1.0
2025-08-14,INTL,1.0
2025-08-15,INTL,1.0
2025-08-18,INTL,1.0
2025-08-19,INTL,1.0
2025-08-20,INTL,1.0
2025-08-21,INTL,1.0
2025-08-22,INTL,1.0
2025-08-25,INTL,1.0
2025-08-26,INTL,1.0
